Name,Bio,Image,Instagram,Mixcloud,Soundcloud,Schedule,Active
Joe Strugs,"Doodle resident Joe Strugs drops a late-night jazzy mix to carry us through February. Cutting his teeth in London’s club scene in 2015, he co-founded Damdon Music in Amsterdam and is now one third of Doodle Manchester, who have been curating unique and intimate parties across Manchester spaces for over a decade. Their music policy is not firmly rooted in any specific genre, but meanders surreptitiously through all walks of house, disco, Afro, funk, soul, electro and techno; beautifully weaving together sound and space. Joe brings a smooth blend of jazzy trip-hop, melodic house, Balearic grooves, nu-disco, and the occasional crowd classic.",https://res.cloudinary.com/db5yf8okw/image/upload/joestrugs_tbpd64.png,https://www.instagram.com/doodlemanchester/,,,Rhythm Rotation fri 7pm,true
Disorder213,"Hailing from Los Angeles, California, Robert Miranda & Aaron Quest are Disorder213 - Factory Records and Haçienda-inspired DJs & music curators.The pair host their own regular radio show on a local L.A. station and actively put on their own events.",https://res.cloudinary.com/db5yf8okw/image/upload/disorder213_logo_cqtytq.png,https://www.instagram.com/disorder213,,,Rhythm Rotation fri 7pm,true
Mike Dixon,"Mike started collecting vinyl over 30 years ago and is still wildly buying records today. His collection includes funk, soul, disco, boogie, nu-disco and house, with a penchant for the overseas flavours. He has a weekly show on Vinyl Night Radio, and can be seen playing at bars in the Stockport area from time to time!",https://res.cloudinary.com/db5yf8okw/image/upload/mikedixon_fm7emh.png,https://www.instagram.com/mike_dxn/,https://www.mixcloud.com/MikeDxn/,,Rhythm Rotation fri 7pm,true
DJ Batehoven,"Manchester-based DJ Batehoven brings a dynamic blend of classic house, UKG, hard house, and trance to the decks. After relocating from London, he's quickly established himself in Manchester's scene, becoming aresident at Workshop Events and playing at numerous venues across both cities. Currently, he's also expanding his creative output with original productions.",https://res.cloudinary.com/db5yf8okw/image/upload/djbatehoven_jyfykp.png,https://www.instagram.com/jamesbait/,,https://soundcloud.com/djbatehoven,Rhythm Rotation fri 7pm,true
Cafe Haus,"Café Haus, Manchester-based event series spotlighting the deepest cuts from the ‘80s to now. With a focus on intimate spaces, B2B sets, and a loyal community, we champion underground sounds, vinyl gems, and pure dancefloor connection.",https://res.cloudinary.com/db5yf8okw/image/upload/cafehaus_veagax.png,https://www.instagram.com/cafe_haus_mcr/,https://www.mixcloud.com/thenightwithnoname/,,Rhythm Rotation fri 7pm,true
Fries With That,"Fries With That is your friendly neighbourhood DJ. He’s cut his teeth at parties across Manchester including Parklife Festival, Ramona, XLR, Stage & Radio, Side Street Studio and The Yard. What began as an early fascination with the aux cable in his mate’s baby blue Fiat Panda has now become a full blown obsession. His mixes for Discbreak Radio cover Chicago house, neon-tinged Italian disco and everything in-between. Get involved!",https://res.cloudinary.com/db5yf8okw/image/upload/frieswiththat_hbfzdc.png,https://www.instagram.com/frieswthat/,,,Rhythm Rotation fri 7pm,true
Nablijven Soundsystem,"Nablijven Soundsystem is an Amsterdam-based DJ collective of three members passionate about collection, mixing and editing the best in disco, funk, and house. Nablijven Soundsystem's sets are a journey through the depths of disco, house, and Italo, weaving together forgotten classics and fresh finds.When they’re not performing, the trio can be found digging through record crates to uncover hidden gems, driven by a passion for discovery and reinvention.",https://res.cloudinary.com/db5yf8okw/image/upload/Nablijven_huglx5.png,https://www.instagram.com/nablijvenrcrds/,,https://soundcloud.com/nablijvenrecords,Rhythm Rotation fri 7pm,true
Nic Kozubik / Sour Mango,"“Tropical Balearica for Tropical B@$tards”A sun-soaked journey through global rhythms, this mix for Disc Break Radio brings the heat with upbeat selections from Brazil, Colombia, Africa and beyond. Just pure tropical goodness, blended by Nic Kozubik under his Sour Mango alias.",https://res.cloudinary.com/db5yf8okw/image/upload/Nic_Kozubik_wdsyv2.png,https://www.instagram.com/sourmango_mcr/,https://www.mixcloud.com/DJNicKoz/,,Rhythm Rotation fri 7pm,true
Diliman,"Deep vibes & raw groovesDiliman’s universe is a deep dive into the essence of house and techno. A passionate vinyl digger for over 25 years, with a collection of more than 4,000 records, he crafts organic sets with finesse — blending deep waves, bouncy beats, and raw textures into his own sonic journey.His first international tour in South Africa in 2013 marked a turning point, helping him shape a unique and captivating sound that has evolved ever since. As a resident at KALT club in Strasbourg, he shares his most thrilling selections with genuine energy and intention.For the deep heads, the curious, the groove lovers — welcome to his world.",https://res.cloudinary.com/db5yf8okw/image/upload/Diliman_vwfxth.png,https://www.instagram.com/diliman_kalt/,,,Rhythm Rotation fri 7pm,true
Kassita,"Kassita is an international DJ & producer who seamlessly blends a diverse range of electronic genres in her mixes, which are always infused with upbeat energy to get you stomping.",https://res.cloudinary.com/db5yf8okw/image/upload/Kassita_r4srhd.png,https://www.instagram.com/sita_sound/,,https://soundcloud.com/sita_sound#,Rhythm Rotation fri 7pm,true
Gravy Train,Get aboard the Gravy Train with Col and Wayne.From First Class Disco Edits to uplifting grooves and jacking House tracks from their collections; it'll be a journey that you won't want to be late for. See you on the platform. Choo Choo!,https://res.cloudinary.com/db5yf8okw/image/upload/gravytrain_rgyftq.png,http://instagram.com/gravytraindjs,http://mixcloud.com/gravytraindj,,fri 5pm,true
Brad Davies,"Based in Ramsbottom, Brad is the resident DJ at The Coach in Edenfield, where he hosts the popular event Boogie Back Fri-Daze. He's also the voice behind The Boogie Boutique on Roch Valley Radio and recently launched his new Mixcloud series, Mixed With Love.Drawing inspiration from legends like Dave Lee (Z Records) and Ralph Tee (Expansion Records), Brad’s signature blend of soulful grooves, disco, and boogie guarantees to get the dance floor moving.",https://res.cloudinary.com/db5yf8okw/image/upload/brad_davies_pnaqxl.png,https://www.instagram.com/dj_braddavies/,https://www.mixcloud.com/dj_braddavies/,,Rhythm Rotation fri 7pm,true
Gav Kemp,"UK-born and Gold Coast-based DJ Gav Kemp has been spinning records since 1993, with over three decades of dedication to underground dance music culture. An avid vinyl collector with an uncompromising passion for hardcore, rave,Jungle UK garage and House, Gav's journey began in the underground - sneaking into events underage and following the legendary UK pirate radio scene that defined a generation.Early Career & UK ResidenciesGav's talent behind the decks earned him coveted residencies on London's influential pirate stations Point Blank FM and Shake FM during the late 90s. As internet radio emerged, he secured a residency on WorldDance Radio in Greenwich, marking his transition deeper into the UK garage scene while maintaining his love for house music's infectious grooves.Throughout the 2000s, Gav became a fixture on London's club circuit, playing at prestigious venues including the Mermaid Theatre and Glass House. His skills and reputation led to a resident position at the legendary Tru's Do's, operated by Tony Truman, owner of the iconic OBeach.Australian ChapterALways collecting vinly and moving to Australia in 2010, Gav found the local scene harder to crack during the height of the digital takeover. He stepped back for a few years, but as vinyl made its inevitable comeback, so did he. Now he's back doing what he's always done - playing proper records at bars and clubs across Australia, plus holding down a monthly slot on Ibiza Stardust Radio.I alwasy like to produce a mix that takes you on the journey, blending the vest best from my collection.",https://res.cloudinary.com/db5yf8okw/image/upload/Gav_Kemp_q4uhgz.png,https://www.instagram.com/gk_80_gc/,,https://soundcloud.com/masterg1,Rhythm Rotation fri 7pm,true
